,species,lat,long
1456,"Phlebotomus neglectus Tonnoir, 1921",36.6726,24.4422
1457,"Phlebotomus neglectus Tonnoir, 1921",36.673,24.468
1458,"Phlebotomus simici Nitzulescu, 1931",36.6851,24.4492
1459,"Phlebotomus neglectus Tonnoir, 1921",36.6855,24.504
1460,"Phlebotomus similis Perfil'ev, 1963",36.6855,24.504
1461,"Phlebotomus neglectus Tonnoir, 1921",36.6952,24.4908
1462,"Phlebotomus neglectus Tonnoir, 1921",36.7011,24.4953
1463,"Phlebotomus tobbi Adler, Theodor & Lourie, 1930",36.7011,24.4953
1464,"Phlebotomus neglectus Tonnoir, 1921",36.6997,24.4935
1468,"Phlebotomus perfiliewi Parrot, 1930",36.7011,24.4953
1470,"Phlebotomus neglectus Tonnoir, 1921",36.6943,24.4603
1471,"Phlebotomus neglectus Tonnoir, 1921",36.7572,24.5094
1472,"Phlebotomus similis Perfil'ev, 1963",36.7572,24.5094
1473,"Phlebotomus neglectus Tonnoir, 1921",36.7222,24.5084
1474,"Phlebotomus simici Nitzulescu, 1931",36.6894,24.4018
1475,"Phlebotomus similis Perfil'ev, 1963",36.6894,24.4018
1477,"Phlebotomus neglectus Tonnoir, 1921",36.6868,24.4115
1479,"Phlebotomus perfiliewi Parrot, 1930",36.6868,24.4115
1480,"Phlebotomus simici Nitzulescu, 1931",36.6868,24.4115
1481,"Phlebotomus alexandri Sinton, 1928",36.6868,24.4115
1482,"Phlebotomus neglectus Tonnoir, 1921",36.6947,24.3827
1483,"Phlebotomus perfiliewi Parrot, 1930",36.6947,24.3827
1485,"Phlebotomus neglectus Tonnoir, 1921",36.9489,24.7337
1486,"Phlebotomus perfiliewi Parrot, 1930",36.9489,24.7337
1487,"Phlebotomus neglectus Tonnoir, 1921",36.9479,24.7335
1489,"Phlebotomus neglectus Tonnoir, 1921",36.9293,24.738
1490,"Phlebotomus similis Perfil'ev, 1963",36.9293,24.738
1491,"Phlebotomus neglectus Tonnoir, 1921",36.9376,24.708
1492,"Phlebotomus neglectus Tonnoir, 1921",36.9266,24.6997
1493,"Phlebotomus similis Perfil'ev, 1963",36.9575,24.7326
1494,"Phlebotomus neglectus Tonnoir, 1921",36.9821,24.728
1495,"Phlebotomus similis Perfil'ev, 1963",36.9821,24.728
1496,"Phlebotomus neglectus Tonnoir, 1921",36.9789,24.7256
1498,"Phlebotomus similis Perfil'ev, 1963",36.9789,24.7256
1500,"Phlebotomus neglectus Tonnoir, 1921",36.9745,24.7376
1501,"Phlebotomus neglectus Tonnoir, 1921",36.9751,24.7111
1502,"Phlebotomus similis Perfil'ev, 1963",36.9633,24.7262
1503,"Phlebotomus neglectus Tonnoir, 1921",36.985,24.7239
1504,"Phlebotomus neglectus Tonnoir, 1921",36.9867,24.6904
1505,"Phlebotomus neglectus Tonnoir, 1921",37.0112,24.6796
1507,"Phlebotomus neglectus Tonnoir, 1921",36.9934,24.6879
1509,"Phlebotomus neglectus Tonnoir, 1921",36.9929,24.6985
1511,"Phlebotomus neglectus Tonnoir, 1921",36.9921,24.6867
1512,"Phlebotomus neglectus Tonnoir, 1921",36.99,24.6935
1514,"Phlebotomus neglectus Tonnoir, 1921",37.0166,24.6654
1516,"Phlebotomus simici Nitzulescu, 1931",37.0166,24.6654
1517,"Phlebotomus neglectus Tonnoir, 1921",37.0093,24.6755
1518,"Phlebotomus simici Nitzulescu, 1931",37.0093,24.6755
1520,"Phlebotomus perfiliewi Parrot, 1930",36.6525,24.8473
1521,"Phlebotomus neglectus Tonnoir, 1921",36.6089,24.9231
1522,"Phlebotomus Rondani & Berté, 1840",44.28316,4.56796
1527,"Phlebotomus mascittii Grassi, 1908",45.87,13.85
1528,"Phlebotomus mascittii Grassi, 1908",48.37,17.14
1532,"Phlebotomus mascittii Grassi, 1908",45.5,13.65
1559,"Phlebotomus simici Nitzulescu, 1931",41.74,22.17
1561,"Phlebotomus neglectus Tonnoir, 1921",36.4402,25.436
1563,"Phlebotomus similis Perfil'ev, 1963",36.4402,25.436
1564,"Phlebotomus papatasi (Scopoli, 1786)",36.4402,25.436
1566,"Phlebotomus similis Perfil'ev, 1963",36.3998,25.4508
1568,"Phlebotomus neglectus Tonnoir, 1921",36.3788,25.7838
1570,"Phlebotomus neglectus Tonnoir, 1921",36.3967,25.7763
1572,"Phlebotomus neglectus Tonnoir, 1921",36.3613,25.7778
1574,"Phlebotomus neglectus Tonnoir, 1921",36.3528,25.776
1576,"Phlebotomus neglectus Tonnoir, 1921",36.3516,25.7694
1577,"Phlebotomus neglectus Tonnoir, 1921",36.3511,25.7925
1578,"Phlebotomus similis Perfil'ev, 1963",36.3511,25.7925
1579,"Phlebotomus neglectus Tonnoir, 1921",36.3517,25.7925
1581,"Phlebotomus papatasi (Scopoli, 1786)",36.3517,25.7925
1584,"Phlebotomus neglectus Tonnoir, 1921",36.3508,25.792
1585,"Phlebotomus neglectus Tonnoir, 1921",35.5307,27.1352
1586,"Phlebotomus simici Nitzulescu, 1931",35.5307,27.1352
1587,"Phlebotomus neglectus Tonnoir, 1921",35.5306,27.1354
1589,"Phlebotomus simici Nitzulescu, 1931",35.5306,27.1354
1591,"Phlebotomus simici Nitzulescu, 1931",35.5214,27.1113
1592,"Phlebotomus neglectus Tonnoir, 1921",35.4936,27.1702
1594,"Phlebotomus simici Nitzulescu, 1931",35.4936,27.1702
1596,"Phlebotomus neglectus Tonnoir, 1921",35.4933,27.1704
1597,"Phlebotomus simici Nitzulescu, 1931",35.4933,27.1704
1598,"Phlebotomus similis Perfil'ev, 1963",35.4933,27.1704
1600,"Phlebotomus simici Nitzulescu, 1931",35.4928,27.1725
1602,"Phlebotomus neglectus Tonnoir, 1921",35.4883,27.1867
1603,"Phlebotomus simici Nitzulescu, 1931",35.4883,27.1867
1605,"Phlebotomus neglectus Tonnoir, 1921",35.6306,27.1091
1606,"Phlebotomus neglectus Tonnoir, 1921",35.744,27.1779
1608,"Phlebotomus neglectus Tonnoir, 1921",35.7553,27.2073
1610,"Phlebotomus simici Nitzulescu, 1931",35.7553,27.2073
1611,"Phlebotomus neglectus Tonnoir, 1921",35.7553,27.2071
1613,"Phlebotomus simici Nitzulescu, 1931",35.7553,27.2071
1615,"Phlebotomus neglectus Tonnoir, 1921",35.7748,27.182
1617,"Phlebotomus neglectus Tonnoir, 1921",35.7402,27.1745
1619,"Phlebotomus neglectus Tonnoir, 1921",35.74,27.1737
1621,"Phlebotomus neglectus Tonnoir, 1921",35.7254,27.1822
1622,"Phlebotomus similis Perfil'ev, 1963",35.7254,27.1822
1623,"Phlebotomus neglectus Tonnoir, 1921",35.74,27.1739
1625,"Phlebotomus neglectus Tonnoir, 1921",35.7745,27.1816
1627,"Phlebotomus simici Nitzulescu, 1931",35.7745,27.1816
1628,"Phlebotomus neglectus Tonnoir, 1921",35.768,27.1772
1629,"Phlebotomus neglectus Tonnoir, 1921",35.7405,27.1747
1631,"Phlebotomus Rondani & Berté, 1840",29.2144,-99.7897
